luminosity_distance timeshift inclination_EM log10_n0 p log10_epsilon_e log10_epsilon_B log10_E0 thetaCore thetaWing ksiN L0 dL b q ts Ebv log_likelihood log_prior
165.59675299821114 0.38378650614766974 0.09390212438496814 -2.0305766968593577 2.315878117819242 -0.9925506851340211 -0.22538612151255633 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.18813733789797 -10.699761771215416
166.76982480980305 0.3797736743575354 0.18002767068129427 1.3416050979590013 2.5598787168158297 -0.2824250988529391 -1.5286681411068783 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.176052685262054 -10.052841690310354
179.43715413306484 0.6321137598961912 0.14321729467180122 0.2565180784226895 2.68615539641172 -0.5493616186150168 -1.6566999589668974 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.171615075870413 -10.279602599888142
168.86006061273474 0.5498702903320604 0.1172646890156935 -1.711686055293831 2.1945770899680714 -0.17554060558562767 -2.2820425884022186 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.167721890257127 -10.478403954436539
159.17905916635107 0.5800508286783544 0.09927027831437822 -1.9742089162257317 2.3536434712181484 -0.7598054704817438 -1.852128711502736 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.143770788160303 -10.644341504405665
157.27509640114943 0.005055404448135903 0.07376194798219969 -1.8419140457907979 2.23927259707394 -0.657678836778989 -2.0640340220893547 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.11696105217508 -10.940608727440786
177.26062805042386 0.05062680113792384 0.14022458973671922 -1.0754616255126097 2.865213116970981 -0.14678013549760838 -2.4007084529356013 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.114185920873254 -10.30057870432343
154.7401756037138 0.016109986714746435 0.1136369971103329 -1.4211565797275654 2.4123812598776833 -0.6896320616519809 -2.033238704229782 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.086753421403337 -10.509688770376016
164.44700025068178 0.2761071543196386 0.08887418281552156 -1.4997974681162196 2.5222546355676796 -1.1196735331562975 -0.4030190948758383 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.07870419828179 -10.754639837584602
162.62363568542452 0.5036510254265578 0.11687837360910572 -2.5815092388519822 2.52028003068615 -0.7573544631271711 -1.0255518715280703 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.071710029246624 -10.481688691765891
175.67039323693467 0.2866658977402843 0.10535862866112831 -2.0074223756509926 2.555522582519352 -0.8991311016347359 -1.379455321322229 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.054815336411053 -10.585025464270677
155.3915427266293 0.4963952836441844 0.1389652190008497 -0.6726734333129101 2.4217092714459985 -0.596038361688223 -2.449965254653117 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.02418318439918 -10.309541698308216
181.13353855594323 -0.06747668037824864 0.11264057954673808 -2.4930390968189986 2.7730617598657625 -0.13043455040307972 -2.0359656132726727 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.020397383085538 -10.518458254976732
180.0088742668786 0.17376606036300227 0.1793770634232272 0.6856006313055651 2.450741183412927 -0.47412571672968973 -1.7466719111347926 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.012366326156744 -10.056423109492274
152.83235835899697 0.8654723694004918 0.1457248714474848 0.7305265274411052 2.3611345832370136 -0.5578377126211205 -0.9895152771718516 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -20.000505633959488 -10.262366144017825
163.19719025989832 0.6717402984584853 0.13223432773728164 0.3735839661878355 2.4518261200624676 -0.35397877316587856 -2.768644512195009 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -19.997745320683038 -10.358885208618087
169.22548685437522 0.6533459757277573 0.13876283723363564 -0.09780897894827412 2.772813550650401 -0.753745173366223 -1.1059898231398324 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -19.984756619250582 -10.310989728248758
163.58371821859532 0.5082162323543938 0.12027407262037551 -2.5524392268231786 2.607521460352237 -0.8885353208177058 -0.864566737936026 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -19.97147222052085 -10.453183809391506
168.2940890276263 0.5564428028811157 0.1483429689427722 -0.02511912809769523 2.4569450084732583 -0.424067140250294 -0.9813966686011195 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -19.9686770415111 -10.244688096951291
152.75974460140398 0.5443373184685052 0.16521681783201156 0.39489499953911267 2.7802439936897807 -0.3764779319960425 -2.50066972403655 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -19.938246115120542 -10.13783966811001
176.5863450567438 0.1969754903017575 0.08618355122794942 -2.984408333462369 2.687803182364627 -0.9268642793440098 -0.9483000839334359 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -19.93428131582197 -10.785303649685053
167.31297862549485 0.3387689910887427 0.10036860770346648 -2.0612279651531384 2.9814591276020748 -0.9833610119216067 -0.3145272449683767 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -19.925883004160113 -10.633374801699372
159.8318462705332 0.04887280593601945 0.11056399089318147 -0.7366197200491142 2.4005394215590288 -0.6240921176817782 -2.3672236880991755 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -19.90289573320158 -10.536988521143277
160.0505632278735 0.1490796726468478 0.07858320891087094 -2.2779802750071507 2.822510430526099 -0.41511364691113783 -1.8376497661417197 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -19.88334586887189 -10.877416129936977
175.15603720626447 0.5165248397750536 0.14102983207718686 0.4837775991161801 2.3827174791112333 -0.2955898959033174 -2.046661357231172 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -19.877677322790426 -10.294890407136064
155.590163516441 0.2644282846221576 0.155369619748802 0.08045342823585155 2.3034184232702914 -0.32360354950210635 -1.3900094650128716 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -19.865424698339915 -10.198764354485002
163.83616833095812 0.014442595011789253 0.0905608481950989 -2.5354905678792785 2.5755726154406684 -0.38094058935282726 -2.1443026689015845 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -19.86150909932065 -10.735890018613812
151.15384663905968 0.9068089272389163 0.1721823807852201 1.7966565354673847 2.2858216043534516 -0.22700347644775576 -1.701244481871021 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -19.859603749692404 -10.096936499833008
