candidate,model,tmax,log_likelihood,log_evidence,log_evidence_err,log_bayes_factor,luminosity_distance,KNphi,inclination_EM,KNtimeshift,log10_mej_dyn,log10_mej_wind,Ebv,log_prior,log10_n0,p,log10_epsilon_e,log10_epsilon_B,log10_E0,thetaCore,thetaWing,ksiN,L0,dL,b,q,ts,supernova_mag_boost
Bu2019lm_0,TrPi2018,9.0,-3.6934262861643674,-8.469109788002209,0.05981579046651608,-8.469109788002209,121.21380112406231,,0.13451998636765336,0.6003347374886161,,,0.3688997752354459,-12.178080480735327,-0.4244229582153034,2.8551675927602274,-0.09751455384579888,-2.0734935649822743,53.0,0.05,0.1,1.0,0.0,3.09e+19,6.0,0.0,0.0,
Bu2019lm_0,TrPi2018,11.0,-4.651424158899309,-10.021504188462623,0.06142360853743747,-10.021504188462623,139.50841516052716,,0.16701983919130017,0.25859567447265785,,,0.31298159652871255,-11.720541399932886,0.22673256266567554,2.992913592932806,-0.08791439555213598,-0.6870604189967029,53.0,0.05,0.1,1.0,0.0,3.09e+19,6.0,0.0,0.0,
Bu2019lm_0,TrPi2018,13.0,-5.890292700218032,-12.12426579616417,0.06432122373543465,-12.12426579616417,193.72324817300756,,0.12767488605719948,0.7988920040514085,,,0.256963849332798,-11.791717540558501,0.0635212476326883,2.973974678024865,-0.07612662668184722,-0.10271569442724271,53.0,0.05,0.1,1.0,0.0,3.09e+19,6.0,0.0,0.0,
Bu2019lm_0,TrPi2018,15.0,-6.564870029260404,-13.630135915168644,0.0676281229086442,-13.630135915168644,102.2868319936077,,0.14974307989556773,0.9647833821388776,,,0.09203655936426307,-11.212718568579234,0.04122974009132507,2.993659442906262,-0.5704460571486263,-0.9073041222672602,53.0,0.05,0.1,1.0,0.0,3.09e+19,6.0,0.0,0.0,
Bu2019lm_0,nugent-hyper,3.0,-2.009096709502762,-6.58926037308052,0.05883811140794801,-6.58926037308052,175.5084160739843,,,-1.8953146972986803,,,0.009637612172199122,-7.583213927123111,,,,,,,,,,,,,,-4.966477156897989
Bu2019lm_0,nugent-hyper,5.0,-4.729667311250038,-8.659371772844269,0.05531186716342032,-8.659371772844269,234.1596304230851,,,-1.9679684096355965,,,0.012690651399258852,-7.588653791053397,,,,,,,,,,,,,,-4.894017937199177
Bu2019lm_0,nugent-hyper,7.0,-9.453030551207867,-13.003061781881664,0.05113289629989092,-13.003061781881664,297.30077287023425,,,-1.9883281671709947,,,0.014771484421247528,-7.592378421703251,,,,,,,,,,,,,,-4.697719974699766
Bu2019lm_0,nugent-hyper,9.0,-9.311598547700653,-12.929987068543193,0.05094058493317277,-12.929987068543193,167.99072338239682,,,-1.9920532017911958,,,0.4216365577701593,-8.900359419036608,,,,,,,,,,,,,,-4.711977146589302
Bu2019lm_0,nugent-hyper,11.0,-19.61328319708882,-23.319114172573006,0.04907375746358592,-23.319114172573006,140.11298588758277,,,-1.949993422403863,,,0.11141121579561987,-7.782697706263061,,,,,,,,,,,,,,-2.309842289941258
Bu2019lm_0,nugent-hyper,13.0,-35.90276352527552,-40.13250890880527,0.051186337797076334,-40.13250890880527,141.607685148828,,,-1.9730126753641204,,,0.16742966053251646,-7.91225759114718,,,,,,,,,,,,,,-1.3979575217314504
Bu2019lm_0,nugent-hyper,15.0,-51.2186610073729,-55.95349710974717,0.053165687728932674,-55.95349710974717,138.93296156908008,,,-1.9935766199348042,,,0.20570315375066187,-8.011535945005106,,,,,,,,,,,,,,-0.7341025191093413
TrPi2018_0,Bu2019lm,3.0,-1.8380925344429522,-3.577821782183687,0.027051106107468713,-3.577821782183687,6.528826035342183,34.986660112372476,0.562408523369279,-0.787182225203801,-2.796043619301936,-0.5670711073300936,0.2261554767896026,-9.034209679481052,,,,,,,,,,,,,,
TrPi2018_0,Bu2019lm,5.0,-2.806814268723525,-5.665113284952082,0.03825273430573392,-5.665113284952082,5.227478996747613,48.594556865257616,0.6221867671304557,-0.5741805866789365,-2.6012870926246787,-0.6002568601270553,0.023276749921922024,-8.48410872583352,,,,,,,,,,,,,,
TrPi2018_0,Bu2019lm,7.0,-3.904814837164957,-7.77280626360322,0.04827346102435977,-7.77280626360322,5.135991595597806,47.33515229331751,0.5576193319891639,-0.7106985122657257,-2.919989160698549,-0.5254819585635939,0.28015240052843865,-9.211392226989396,,,,,,,,,,,,,,
TrPi2018_0,Bu2019lm,9.0,-3.9147968704861418,-7.861212940329242,0.048873171419339716,-7.861212940329242,5.080179520556465,49.563994474714,0.674753625896622,-0.20903996477829345,-2.615017106416549,-0.616526307171223,0.3739394205956101,-9.432428986173393,,,,,,,,,,,,,,
TrPi2018_0,Bu2019lm,11.0,-5.623863930804097,-10.969877134383042,0.0573763496616144,-10.969877134383042,5.119717668948413,46.038150739154176,0.7596417611504641,0.44175151316628414,-2.821853659902314,-0.6102340612850767,0.34923503134037986,-9.217637465582966,,,,,,,,,,,,,,
TrPi2018_0,Bu2019lm,13.0,-8.739014072087459,-15.64467501105176,0.06474288349989035,-15.64467501105176,3.8632878954534564,47.536625063454,0.7818342424859961,0.549094405175822,-2.6643565384114085,-0.560773292375579,0.41109810154572907,-9.519416144547895,,,,,,,,,,,,,,
TrPi2018_0,Bu2019lm,15.0,-12.950710339579,-21.165146372675967,0.07029736159097547,-21.165146372675967,3.5705541856034375,48.87182538946326,0.7768627476862788,0.627301307165073,-2.620189551379907,-0.56310086654655,0.022145514235062495,-8.297345061143242,,,,,,,,,,,,,,
TrPi2018_0,TrPi2018,3.0,-1.8381682308202167,-4.777041975505812,0.04619971157689995,-4.777041975505812,132.97390710169685,,0.17911541928788252,0.07019013819342579,,,0.10229131824129656,-11.056801097738314,-0.7434014930889887,2.7303878500863896,-0.5956805577194371,-1.4210591116777866,53.0,0.05,0.1,1.0,0.0,3.09e+19,6.0,0.0,0.0,
TrPi2018_0,TrPi2018,5.0,-2.757990633770849,-6.260367382888309,0.05108514852752116,-6.260367382888309,175.43400553154873,,0.13067961335607103,-0.9013995116611193,,,0.4269125674274663,-12.542452095235474,-2.874478239702151,2.992895373111505,-0.28488418567505613,-0.6731503654297031,53.0,0.05,0.1,1.0,0.0,3.09e+19,6.0,0.0,0.0,
TrPi2018_0,TrPi2018,7.0,-3.677522998856488,-7.680213075385756,0.055611642076049655,-7.680213075385756,166.07703579516073,,0.15333618387752676,-0.9445448035565636,,,0.21654122550338828,-11.489197614137051,-2.2834061314537832,2.6905720475952375,-0.3620119726898956,-0.6973026869972605,53.0,0.05,0.1,1.0,0.0,3.09e+19,6.0,0.0,0.0,
TrPi2018_0,TrPi2018,9.0,-3.677514281574865,-7.665113291261936,0.05507044218023875,-7.665113291261936,129.23213084589028,,0.15946602661520087,-1.85235219214088,,,0.13225433536320044,-11.23774782215446,-1.6361735083566493,2.6029430366960895,-0.46517644092960175,-1.305582809855758,53.0,0.05,0.1,1.0,0.0,3.09e+19,6.0,0.0,0.0,
TrPi2018_0,TrPi2018,11.0,-4.5982990634954275,-9.114297936283903,0.059549344992654615,-9.114297936283903,102.39211221116801,,0.14775535469226786,-0.0647939588058839,,,0.3900739986274094,-12.194729677331292,-2.1103452383953316,2.5409330490008704,-0.5344453172376058,-0.9488920365690099,53.0,0.05,0.1,1.0,0.0,3.09e+19,6.0,0.0,0.0,
TrPi2018_0,TrPi2018,13.0,-5.516363362941937,-10.265186432995705,0.06158217397932502,-10.265186432995705,176.48287439305022,,0.1432771282568308,-0.24626848422389047,,,0.14293601381526191,-11.368547748043454,-2.464972813190659,2.7468510470417016,-0.4521682319068958,-0.8408954698537743,53.0,0.05,0.1,1.0,0.0,3.09e+19,6.0,0.0,0.0,
TrPi2018_0,TrPi2018,15.0,-6.435117389396938,-11.333588494512433,0.06282662666890651,-11.333588494512433,119.97799135007271,,0.16383178077492067,-1.8465462826283052,,,0.29810561304394617,-11.683877992213377,-2.0495583928625876,2.9146217884741707,-0.43093618210462115,-0.518856131376249,53.0,0.05,0.1,1.0,0.0,3.09e+19,6.0,0.0,0.0,
TrPi2018_0,nugent-hyper,3.0,-2.0913016173433165,-4.408078707907703,0.04161458236712092,-4.408078707907703,314.9490225730036,,,-1.7636170162485825,,,0.09295690618109836,-7.743446210575448,,,,,,,,,,,,,,-4.343612999796093
